nome;telefone;endereco;link;categoria;horario;			
O Pastelão;(33) 3533-1876; R. Tancredo Neves , 26, Centro; https://pedido.anota.ai/loja/restauranteopastelao;Restaurante; Seg–Dom 08:00–18:00;
Restaurante Paladar;(33) 3533-1365; R. Joaquim Pereira , 88, Centro; https://www.instagram.com/restaurante.paladar/; Restaurante; Seg–Sex 10:45–14:00;
Restaurante E Pizzaria Sabor De Minas;(33) 98710-3840; Av. Júlio Campos , s/n, Centro; https://www.instagram.com/sabor_de_minas_nc/;Restaurante; Seg–Dom 07:00–21:00;
Pastelaria Central;(33) 98845-7373; R. Davi Mussi , 35, Centro; https://www.instagram.com/pastelaria.central/;Lanchonete; Seg–Dom 07:00–18:00;
Restaurante E Lanchonete Cantinho Mineiro;(33) 99963-2833; R. Gualdêncio , 144, Centro; https://www.instagram.com/cantinhomineiro_nc/;Restaurante; Seg–Dom 07:00–18:00;
Trem Mineiro Pizzaria E Lanchonete;(33) 98818-5701; R. Joaquim Pereira , 179, Cristo Rei; https://www.instagram.com/hoteltremmineiro/;Restaurante; Qua–Dom 16:00–00:00;
Restaurante E Pizzaria De Lourdes;(33) 3533-1285; R. Joaquim Maravilha , s/n, Centro; https://www.instagram.com/restaurantepizzariadlourdes/;Restaurante; Horário variável;
Fast Burger Delivery;(33) 98433-5592; R. Pres. Bernardes , s/n, Centro; https://www.instagram.com/fastburgernc/;Hamburgueria; Seg–Dom 19:00–23:00;
Pizzaria E Lanchonete Forno A Lenha;(33) 99824-6619; R. Jacinto de Carvalho , 181, Centro; https://www.instagram.com/pizzariafornoalenhanc/;Pizzaria; Seg–Dom 19:00–00:00;
Bar E Hamburgueria Boteco Cabanas;(33) 98876-1521; R. Joaquim Maravilha , 37, Centro; https://www.instagram.com/botecocabanas/;Hamburgueria; Seg–Dom 18:00–00:00;
Companhia Do Lanche;(33) 98701-0402; Av. Júlio Campos , 516, Centro; https://www.instagram.com/companhiaa_do_lanche/;Lanchonete; Seg–Dom 08:00–23:00;
Cantinho Do Pastel;(33) 98701-0402; R. Pref. Júlio da Silva Campos , 424, Centro; https://www.instagram.com/cantinho_do_pastel1024/;Lanchonete; Seg–Dom 08:00–22:00;
Mr. Shake;(33) 99859-6938; R. Pres. Bernardes , 331, Centro; https://www.instagram.com/mr.shakenovocruzeiro/;Sorveteria; Seg–Dom 10:00–21:30;
Pátio Sorveteria E Hamburgueria;(33) 98836-8907; LMG-678 , 408, Centro; https://www.instagram.com/patio_oficial/;Sorveteria; Seg–Dom 07:30–21:00;
Pizzaria Bona Massa;(33) 98803-2547; R. Tancredo Neves , 18, Centro; https://www.instagram.com/pizzariabonnamassa/;Pizzaria; Seg–Dom 18:00–00:00;
Farmácia Central;(33) 3533-1265; R. Pres. Bernardes , 44, Centro; https://www.instagram.com/farmacia_centralredeinova/;Farmácia; Seg–Dom 07:00–21:00;
Drogaria Vital Brasil;(33) 3533-1337; Av. Júlio Campos , 254, Centro; https://www.instagram.com/drogariavitalbrasil/;Farmácia; Seg–Dom 07:00–20:00;
Farmácia Indiana;(33) 0800-086-1666; R. Davi Mussi , 67, Centro; https://www.instagram.com/farmaciaindiananovocruzeiro/;Farmácia; Seg–Dom 07:00–22:00;
Drogaria Nossa Senhora De Fátima;(33) 3533-1059; R. Pres. Bernardes , 105, Centro; https://www.instagram.com/drogaria_nossasenhoradefatima/;Farmácia; Seg–Dom 07:00–19:00;
Hiperpopular;(33) 3533-1351; Av. Júlio Campos , 380, Centro; https://www.instagram.com/hiperpopularnc/;Farmácia; Seg–Dom 07:00–22:30;
Drogaria Matos;(33) 99734-1120; Av. Júlio Campos , 388 A, Centro; https://www.instagram.com/drogariasmatosoficial/;Farmácia; Seg–Dom 07:00–21:00;
Xereta Supermercados;(33) 3533-5151; R. Davi Mussi , 159, Centro; https://www.instagram.com/xeretanovocruzeiro/;Supermercado; Seg–Dom 07:00–19:30;
Amorim Supermercado;(33) 3533-1326; R. Pres. Bernardes , s/n, Centro; https://www.instagram.com/amorimsupermercadosnc/;Supermercado; Seg–Dom 07:00–20:00;
Supermercado Compre Bem;(33) 3533-1053; Av. Júlio Campos , 354, Centro; https://www.instagram.com/comprebemnc/;Supermercado; Seg–Sab 07:00–20:00 Dom 08:00-13:00;
Sindicato Dos Trabalhadores Rurais;(33) 98828-3613; R. Joaquim Pereira, 163, Centro; https://www.instagram.com/sindicatoruralnvcruzeiro/;Serviços; Seg–Sex 08:00–15:00;
Fórum De Novo Cruzeiro;(33) 3533-1296; Av. Júlio Campos, 201, Centro; https://www.tjmg.jus.br/;Serviços;#;
Câmara Municipal;#; R. Davi Mussi, 227, Centro; https://www.camaranovocruzeiro.mg.gov.br/;Serviços; #;
Sicoob Credivale;#; R. Davi Mussi, 100, Centro; https://www.sicoob.com.br/;Banco; Seg–Sex 10:00–15:00;
Bradesco;#; R. Professor João Aurélio, 06, Centro; https://banco.bradesco/;Banco; Seg–Sex 10:00–14:00;
Polícia Militar;#; R. Davi Mussi, 228, Centro; https://www.policiamilitar.mg.gov.br/;Serviços; 24 horas;
Escola Estadual Inácio Murta;(33) 3533-1537; Praça Sargento Noraldino Rosa, 435, Centro; https://www.instagram.com/inaciomurtanc/;Escola; Seg–Sex 07:00–22:00;
Prefeitura De Novo Cruzeiro;(33) 3533-1200; Av. Júlio Campos, 172, Centro; https://www.instagram.com/prefeituranovocruzeiro/;Serviços; Seg–Sex 08:00–17:00;
Igreja Matriz De São Bento;(33) 3533-1281; Rua Honório Ramos, 41, Centro; https://www.instagram.com/paroquia.saobentonc/;Serviços; Horário variável;
Mundo Das Utilidades Nc;(33) 98438-3921;Av. Júlio Campos, 84;https://www.instagram.com/mundodasutilidadesnc/;Loja;Seg–Sáb 08:00–18:30;
Loja Do Povo;(33) 99923-9454;R. David Mussi, 45;https://www.instagram.com/lojadopovonc/;Loja;Seg–Sáb 08:00–18:00;
Donna Store - Moda Feminina;(33) 99997-8579;R. Joaquim Maravilha, 64;https://www.instagram.com/donnastorenc/;Loja;Seg–Sáb 08:00–18:00;
Loja Pague Menos;(33) 98873-2583;Av. Júlio Campos;https://www.instagram.com/paguemenosnc/;Loja;Seg–Sáb 08:00–18:00;
Casa Da Valentina;(33) 98707-3398;RUA JOAQUIM MARAVILHA, 23;#;Loja;Seg–Sáb 08:00–18:00;
Lojas Sim Móveis E Eletro;(33) 98825-3565;Av. Pres. Bernardes, 123;https://www.instagram.com/lojassim_novocruzeiro/;Loja;Seg–Sáb 08:00–18:00;
Luisa Leticia;(33) 98762-2617;Pca Dom José de Haas, 140;https://www.instagram.com/lojaluisaleticia/;Loja;Seg–Sáb 08:00–18:00;
Kairós Modas;(33) 98711-4011;Travessa Antônio Ursino da Silva;https://www.instagram.com/kairos_modas_nc/;Loja;Seg–Sáb 08:00–18:00;
Lojao Do Bras;#;R. Davi Mussi, 133;https://www.instagram.com/lojaodobras_nc/;Loja;Seg–Sáb 08:00–18:30;
Recy Modas;(33) 98811-0248;Av. Júlio Campos, 434;https://www.instagram.com/recymodas/;Loja;Seg–Sáb 08:00–18:00;
Loja Só Para Baixinhos;(33) 98841-5387;R. Pres. Bernardes, 55;#;Loja;Seg–Sáb 08:00–18:00;
Mil Materiais De Construção;(33) 98816-3517;Av. Júlio Campos, 368;https://www.instagram.com/mil_materiais_de_construcao/;Loja;Seg–Sáb 08:00–18:00;
Lojão Da Criança;#;R. Jorge Chaim, 8;#;Loja;Horário variável;
Loja Vivo;(33) 99708-4518;R. Pres. Bernardes, 105;https://www.vivo.com.br/;Loja;Seg–Sáb 08:00–18:00;
Marcela Calçados Nc;(33) 98832-8445;R. Joaquim Maravilha, 77;#;Loja;Seg–Sáb 08:00–18:00;
Quintal Bar 40;#;R. Juscelino Sena, 40;https://www.instagram.com/quintalbar40/;Restaurante;Horário variável;
Restaurante 2 Irmãos;#;R. Joaquim Pereira, s/n, Cristo Rei;#;Restaurante;Ter–Dom 11:00–15:00;
Grão Minas;#;Novo Cruzeiro;https://www.instagram.com/graominas/;Restaurante;Horário variável;
Spock Burger Delivery Novo Cruzeiro;#;Rua Jorge Chain, 90;https://www.instagram.com/spockburgernc/;Hamburgueria;Ter–Dom 19:00–23:00;
Mania Do Açaí;#;Rua Joaquim Maravilha, 48, Centro;https://www.instagram.com/maniadoacai/;Lanchonete;Seg–Dom 10:00–22:00;
Spettus E Batatas;#;R. Joaquim Maravilha, 52;https://www.instagram.com/spettusebatatas/;Restaurante;Ter–Dom 18:00–23:00;
Restaurante Dona Rosa;#;Novo Cruzeiro;#;Restaurante;Ter–Dom 10:30–15:00;
Tr Espetinhos;#;Av. Júlio Campos, 605;#;Restaurante;Sex–Dom 16:00–22:00;
Hotel Luar - Novo Cruzeiro;(33) 3533-1241;Novo Cruzeiro;https://www.instagram.com/hotelluar.nc/;Serviços;24 horas;
Restaurante Da Nice;#;R. Pres. Bernardes, s/n;#;Restaurante;Horário variável;
Lanchonete Tia Zinha;#;R. Principal, 176;#;Lanchonete;Seg–Dom 08:00–17:00;
Best Burger;#;Tv. José Moura, s/n;https://www.instagram.com/bestburgernc/;Hamburgueria;Ter–Dom 19:00–00:00;
Mega Forte;(33) 98890-4679;R. Jorge Chaim, 348-484;#;Supermercado;Seg–Dom 07:00–19:00;
Super Clara;(33) 3533-1411;Av. Júlio Campos, 462;#;Supermercado;Seg–Dom 07:00–19:30;
Comercial Xereta;(33) 3533-1322;R. David Mussi, 67;https://www.instagram.com/xeretanovocruzeiro/;Supermercado;Horário variável;
Mercadinho Ramalho;#;R. Afonso Chaves, s/n;#;Mercado;Seg–Sab 07:00–19:00;
Chain Supermercado;(33) 99944-5225;R. Pres. Bernardes, 27;https://www.instagram.com/chainsupermercado/;Supermercado;Seg–Dom 07:00–19:00;
Comercial Barreiro;#;Novo Cruzeiro;#;Supermercado;Horário variável;
Mercearia Martins;(33) 3533-1375;Av. Júlio Campos, 512;#;Supermercado;Seg–Dom 07:00–20:00;
Nj Prime Mercado;(33) 99827-3593;R. Principal, 379;https://www.instagram.com/njprimemercado/;Supermercado;Seg–Dom 07:00–19:00;
Mercearia Cristo Rei;#;R. Principal, 100;https://www.instagram.com/merceariacristoreinc/;Supermercado;Horário variável;
Escola Estadual Eduardo Milton Da Silva;(33) 3533-1307;Rua Jorge Chaim, Anastácio;https://www.instagram.com/escola_eduardomilton/;Escola;Seg–Sex 07:00–18:00;
Escola Municipal Professora Maria Das Dores;#;Novo Cruzeiro;https://www.instagram.com/mariadasdoresescola/;Escola;Horário variável;
Ee Dom José De Haas;(33) 3312-1160;R. Inácio Bahia, 369;https://www.instagram.com/escolaestadualdomjosedehaas3/;Escola;Seg–Sex 07:00–18:30;
Cna Novo Cruzeiro;(33) 98805-3327;Av. Júlio Campos, 562;https://www.cna.com.br/;Escola;Seg–Sex 08:00–18:00;
Cmei São Bento;#;R. Francisco de Assis Mota, 1;https://www.facebook.com/cmei_saobento/;Escola;Horário variável;
Polo Fael - Unifael;(33) 98883-4577;R. Joaquim Maravilha, 83;https://fael.edu.br/;Escola;Seg–Sex 08:00–18:00;
Top Cursos;(33) 98883-4577;R. Joaquim Maravilha, 83;https://www.instagram.com/topcursosnc/;Escola;Seg–Sex 08:00–18:00;
Autoescola Master;#;Novo Cruzeiro;https://www.instagram.com/autoescolamasternc/;Escola;Horário variável;
Secretaria Municipal De Educação;#;Rua Gaudêncio Caminhas, 48;https://www.novocruzeiro.mg.gov.br/;Serviços;24 horas;
Auto Escola Total;(33) 3533-1823;Av. Júlio Campos, 562;#;Escola;Horário variável;
Polo Unifatecie Novo Cruzeiro;(33) 99805-9382;Av. Júlio Campos, 520;https://unifatecie.edu.br/;Escola;Seg–Sex 08:00–17:00;
Escola Municipal Comunidade Escondido;#;Zona Rural;#;Escola;Horário variável;
Escola Estadual Sul América;(33) 99833-4745;Córrego Acode a Chuva, Zona Rural;https://www.instagram.com/escolasulamerica/;Escola;Seg–Sex 07:00–18:00;
Igreja Universal;#;Praca Srg. Noraldino Rosa, 385;https://www.universal.org/;Serviços;Seg–Dom 07:00–21:00;
Igreja Pentecostal Nova Aliança;#;R. Jacinto de Carvalho, 298;#;Serviços;Horário variável;
Igreja Assembleia De Deus;#;R. Jacinto de Carvalho, 115;#;Serviços;Horário variável;
Primeira Igreja Batista;#;R. Tancredo Neves, 286;#;Serviços;Horário variável;
Igreja Batista Da Videira;#;Rua José Rocha Lima, 36;#;Serviços;Horário variável;
Salão Do Reino Testemunhas De Jeová;#;R. Jorge Chaim, 270;https://www.jw.org/;Serviços;Horário variável;
Igreja Assembleia De Deus Madureira;#;Tv. João Pereira de Araújo, 345;#;Serviços;Horário variável;
Novo Cruzeiro - Atração Turística;#;Av. Júlio Campos;#;Serviços; 24 horas;
